event_id,timestamp_min,robot_id,state,duration_min,task_type,order_id,battery_pct_start,battery_pct_end,fault_code
E000001,0,R01,WORK,9,PICK,ORD0033,95,76,
E000002,0,R02,WORK,11,PICK,ORD0617,62,44,
E000003,0,R03,WORK,12,PICK,ORD0285,56,32,
E000004,0,R04,WORK,5,PICK,ORD0715,72,66,
E000005,0,R05,WORK,6,PICK,ORD0782,70,56,
E000006,0,R06,WORK,4,PICK,ORD0368,69,61,
E000007,0,R07,IDLE,16,IDLE,,63,56,
E000008,0,R08,WORK,10,PICK,ORD0550,61,48,
E000009,0,R09,IDLE,5,IDLE,,98,96,
E000010,0,R10,IDLE,14,IDLE,,89,85,
E000011,4,R06,IDLE,9,IDLE,,61,56,
E000012,5,R04,IDLE,15,IDLE,,66,60,
E000013,5,R09,WORK,6,PICK,ORD0792,96,83,
E000014,6,R05,WORK,6,PICK,ORD0104,56,46,
E000015,9,R01,WORK,8,PICK,ORD0167,76,65,
E000016,10,R08,WORK,7,PICK,ORD0719,48,35,
E000017,11,R02,FAULT,7,,,44,41,BATTERY_LOW
E000018,11,R09,WORK,12,PICK,ORD0651,83,69,
E000019,12,R03,IDLE,6,IDLE,,32,29,
E000020,12,R05,WORK,7,PICK,ORD0656,46,33,
E000021,13,R06,WORK,8,PICK,ORD0787,56,39,
E000022,14,R10,WORK,3,PICK,ORD0324,85,80,
E000023,16,R07,WORK,12,PICK,ORD0736,56,28,
E000024,17,R01,WORK,9,PICK,ORD0659,65,45,
E000025,17,R08,WORK,6,PICK,ORD0763,35,22,
E000026,17,R10,WORK,12,PICK,ORD0439,80,64,
E000027,18,R02,WORK,6,PICK,ORD0142,41,31,
E000028,18,R03,WORK,3,PICK,ORD0113,29,26,
E000029,19,R05,WORK,9,PICK,ORD0611,33,21,
E000030,20,R04,WORK,11,PICK,ORD0012,60,37,
E000031,21,R03,WORK,11,PICK,ORD0769,26,0,
E000032,21,R06,IDLE,5,IDLE,,39,38,
E000033,23,R08,WORK,5,PICK,ORD0465,22,14,
E000034,23,R09,WORK,4,PICK,ORD0641,69,64,
E000035,24,R02,IDLE,13,IDLE,,31,28,
E000036,26,R01,WORK,8,PICK,ORD0781,45,31,
E000037,26,R06,IDLE,12,IDLE,,38,35,
E000038,27,R09,IDLE,13,IDLE,,64,59,
E000039,28,R05,FAULT,10,,,21,18,BATTERY_LOW
E000040,28,R07,WORK,3,PICK,ORD0115,28,23,
E000041,28,R08,FAULT,8,,,14,12,MECH_FAILURE
E000042,29,R10,IDLE,16,IDLE,,64,56,
E000043,31,R04,WORK,3,PICK,ORD0247,37,31,
E000044,31,R07,IDLE,5,IDLE,,23,22,
E000045,32,R03,CHARGE,17,CHARGE,,0,100,
E000046,34,R01,IDLE,5,IDLE,,31,29,
E000047,34,R04,IDLE,12,IDLE,,31,27,
E000048,36,R07,IDLE,6,IDLE,,22,20,
E000049,36,R08,CHARGE,16,CHARGE,,12,100,
E000050,37,R02,IDLE,12,IDLE,,28,26,
E000051,38,R05,CHARGE,8,CHARGE,,18,53,
E000052,38,R06,WORK,12,PICK,ORD0434,35,22,
E000053,39,R01,IDLE,16,IDLE,,29,22,
E000054,40,R09,IDLE,7,IDLE,,59,56,
E000055,42,R07,CHARGE,17,CHARGE,,20,100,
E000056,45,R10,WORK,8,PICK,ORD0449,56,39,
E000057,46,R04,WORK,6,PICK,ORD0231,27,17,
E000058,46,R05,WORK,3,PICK,ORD0073,53,49,
E000059,47,R09,WORK,4,PICK,ORD0033,56,51,
E000060,49,R02,WORK,6,PICK,ORD0286,26,14,
E000061,49,R03,WORK,5,PICK,ORD0741,100,91,
E000062,49,R05,WORK,10,PICK,ORD0249,49,31,
E000063,50,R06,IDLE,7,IDLE,,22,19,
E000064,51,R09,WORK,9,PICK,ORD0363,51,34,
E000065,52,R04,FAULT,4,,,17,16,MECH_FAILURE
E000066,52,R08,WORK,3,PICK,ORD0690,100,95,
E000067,53,R10,IDLE,4,IDLE,,39,38,
E000068,54,R03,WORK,8,PICK,ORD0112,91,79,
E000069,55,R01,WORK,10,PICK,ORD0144,22,11,
E000070,55,R02,CHARGE,10,CHARGE,,14,69,
E000071,55,R08,WORK,4,PICK,ORD0454,95,89,
E000072,56,R04,CHARGE,19,CHARGE,,16,100,
E000073,57,R06,CHARGE,14,CHARGE,,19,100,
E000074,57,R10,WORK,11,PICK,ORD0016,38,23,
E000075,59,R05,IDLE,7,IDLE,,31,30,
E000076,59,R07,WORK,10,PICK,ORD0493,100,85,
E000077,59,R08,WORK,3,PICK,ORD0169,89,85,
E000078,60,R09,IDLE,8,IDLE,,34,31,
E000079,62,R03,IDLE,16,IDLE,,79,73,
E000080,62,R08,WORK,9,PICK,ORD0714,85,66,
E000081,65,R01,CHARGE,18,CHARGE,,11,100,
E000082,65,R02,WORK,10,PICK,ORD0159,69,53,
E000083,66,R05,WORK,3,PICK,ORD0594,30,24,
E000084,68,R09,WORK,8,PICK,ORD0059,31,20,
E000085,68,R10,WORK,11,PICK,ORD0083,23,10,
E000086,69,R05,WORK,4,PICK,ORD0692,24,16,
E000087,69,R07,WORK,12,PICK,ORD0253,85,65,
E000088,71,R06,WORK,4,PICK,ORD0430,100,95,
E000089,71,R08,IDLE,9,IDLE,,66,63,
