robot_id,WORK,IDLE,CHARGE,FAULT,total_min,utilization_pct,downtime_pct,charging_pct,work_events,tasks_per_hour_proxy,fault_events,mttr_min
R01,100,326,47,7,480,20.833333333333336,1.4583333333333333,9.791666666666666,13,1.625,1,7.0
R02,80,353,47,0,480,16.666666666666664,0.0,9.791666666666666,11,1.375,0,0.0
R03,68,366,39,7,480,14.166666666666666,1.4583333333333333,8.125,10,1.25,1,7.0
R04,111,323,46,0,480,23.125,0.0,9.583333333333334,15,1.875,0,0.0
R05,103,319,50,8,480,21.458333333333332,1.6666666666666667,10.416666666666668,13,1.625,1,8.0
R06,55,367,49,9,480,11.458333333333332,1.875,10.208333333333334,9,1.125,1,9.0
R07,125,289,66,0,480,26.041666666666668,0.0,13.750000000000002,16,2.0,0,0.0
R08,100,311,60,9,480,20.833333333333336,1.875,12.5,12,1.5,1,9.0
R09,92,334,49,5,480,19.166666666666668,1.0416666666666665,10.208333333333334,13,1.625,1,5.0
R10,106,311,52,11,480,22.083333333333332,2.2916666666666665,10.833333333333334,14,1.75,1,11.0
